Year,Penn_GDP_PPP,population,GNIpc,PropertyRights,period,ccode,eci,GDP_pc_growth,KOF_econ,pop_growth,hc,primary_exports_1_share_country,oil_exports_share_country,coal_and_metal_exports_share_country,AdvancedCountry,OPECdummy,political_rel,economic_rel,legal_rel
1960,,54211,36960,,"(1955,1960]",ABW,,,,,,,,,0,0,,,
1961,,55438,36960,,"(1960,1965]",ABW,,,,2.238143931,,,,,0,0,,,
1962,,56225,36960,,"(1960,1965]",ABW,,,,1.409621865,,,,,0,0,,,
1963,,56695,36960,,"(1960,1965]",ABW,,,,0.832452558,,,,,0,0,,,
1964,,57032,36960,,"(1960,1965]",ABW,,,,0.592649039,,,,,0,0,,,
1965,,57360,36960,,"(1960,1965]",ABW,,,,0.573468248,,,,,0,0,,,
1966,,57715,36960,,"(1965,1970]",ABW,,,,0.616990878,,,,,0,0,,,
1967,,58055,36960,,"(1965,1970]",ABW,,,,0.587373201,,,,,0,0,,,
1968,,58386,36960,,"(1965,1970]",ABW,,,,0.568529799,,,,,0,0,,,
1969,,58726,36960,,"(1965,1970]",ABW,,,,0.580642385,,,,,0,0,,,
1970,7.12e-06,59063,36960,,"(1965,1970]",ABW,,,,0.57221119,,,,,0,0,,,
1971,7.72e-06,59440,36960,,"(1970,1975]",ABW,,8.061008002,,0.636272958,,,,,0,0,,,
1972,8.37e-06,59840,36960,,"(1970,1975]",ABW,,8.026918874,,0.670693326,,,,,0,0,,,
1973,9.07e-06,60243,36960,,"(1970,1975]",ABW,,8.026236635,,0.671204938,,,,,0,0,,,
1974,9.84e-06,60528,36960,,"(1970,1975]",ABW,,8.223346371,,0.471968484,,,,,0,0,,,
1975,1.07e-05,60657,36960,,"(1970,1975]",ABW,,8.485805004,,0.212897716,,,,,0,0,,,
1976,1.17e-05,60586,36960,,"(1975,1980]",ABW,,8.817756985,,-0.117120177,,,,,0,0,,,
1977,1.28e-05,60366,36960,,"(1975,1980]",ABW,,9.063201963,,-0.363781075,,,,,0,0,,,
1978,1.4e-05,60103,36960,,"(1975,1980]",ABW,,9.136790601,,-0.436627544,,,,,0,0,,,
1979,1.53e-05,59980,36960,,"(1975,1980]",ABW,,8.901833902,,-0.204858378,,,,,0,0,,,
1980,1.67e-05,60096,36960,,"(1975,1980]",ABW,,8.502249824,,0.193211026,,,,,0,0,,,
1981,1.81e-05,60567,36960,,"(1980,1985]",ABW,,7.918738715,,0.780690671,,,,,0,0,,,
1982,1.95e-05,61345,36960,,"(1980,1985]",ABW,,7.428274723,,1.276347795,,,,,0,0,,,
1983,2.1e-05,62201,36960,,"(1980,1985]",ABW,,7.309436186,,1.385740854,,,,,0,0,,,
1984,2.26e-05,62836,36960,,"(1980,1985]",ABW,,7.686555832,,1.015708085,,,,,0,0,,,
1985,2.46e-05,63026,36960,,"(1980,1985]",ABW,,8.403936193,,0.301918203,,,,,0,0,,,
1986,2.7e-05,62644,36960,,"(1985,1990]",ABW,,9.278901536,,-0.607943306,,,,,0,0,,,
1987,3.18e-05,61833,36960,,"(1985,1990]",ABW,,16.2419749,,-1.303070407,,,,,0,0,,,
1988,3.82e-05,61079,36960,,"(1985,1990]",ABW,0.822618604,18.35503666,,-1.226909428,,8.04e-05,0.000258242,0,0,0,,,
1989,4.06e-05,61032,36960,,"(1985,1990]",ABW,0.952580333,6.159809837,,-0.076979146,,0.005330832,0.010452097,0.000571683,0,0,,,
1990,4.51e-05,62149,36960,,"(1985,1990]",ABW,1.092697024,10.5518474,,1.813641093,,0.004713336,0.083648478,8.06e-05,0,0,,,
1991,4e-05,64622,36960,,"(1990,1995]",ABW,-0.468206644,-11.90056503,,3.902018236,,0.002007779,0.25377804,0.000208344,0,0,,,
1992,4.81e-05,68235,36960,,"(1990,1995]",ABW,-0.038629115,18.406736,,5.44027196,,0.010392711,0.327854286,0.005559964,0,0,,,
1993,5.02e-05,72504,36960,,"(1990,1995]",ABW,-1.251710892,4.259550079,,6.068410306,,0.002972141,0.359042814,0.000263853,0,0,,,
1994,5.37e-05,76700,36960,,"(1990,1995]",ABW,-1.143046141,6.713009396,,5.625997562,,0.009056063,0.37552927,0.000211557,0,0,,,
1995,5.04e-05,80324,36960,,"(1990,1995]",ABW,-0.4379448,-6.307206687,,4.616674713,,0.01567036,0.464578873,0.00013954,0,0,,,
1996,5.01e-05,83200,36960,,"(1995,2000]",ABW,-0.897329867,-0.606378054,,3.517889233,,0.012772622,0.465145991,0.002245915,0,0,,,
1997,5.17e-05,85451,36960,,"(1995,2000]",ABW,-1.450033665,3.125532165,,2.669576442,,0.013683486,0.507545101,0.000743449,0,0,,,
1998,5.2e-05,87277,36960,,"(1995,2000]",ABW,-0.385655999,0.433269506,,2.114385656,,0.006483277,0.369407759,0.001357769,0,0,,,
1999,4.86e-05,89005,36960,,"(1995,2000]",ABW,-0.471428812,-6.625710037,,1.960557913,,0.021570167,0.41333471,0.002957788,0,0,,,
2000,4.26e-05,90853,36960,,"(1995,2000]",ABW,-0.848956108,-13.29856428,,2.055026783,,0.012722817,0.475566256,0.003061722,0,0,,,
2001,4.62e-05,92898,36960,,"(2000,2005]",ABW,-1.201486111,8.258584534,,2.22593013,,0.011220049,0.370046959,0.002810161,0,0,,,
2002,3.39e-05,94992,36960,,"(2000,2005]",ABW,-0.540370464,,,2.229056047,,0.011495548,0.379569221,0.006736248,0,0,,,
2003,3.4e-05,97017,36960,,"(2000,2005]",ABW,-0.262378275,0.21758951,,2.109354335,,0.009690321,0.378240426,0.007202522,0,0,,,
2004,3.74e-05,98737,36960,,"(2000,2005]",ABW,-0.942057073,9.619727608,,1.757352867,,0.006194856,0.611065698,0.008831369,0,0,,,
2005,3.91e-05,100031,36960,,"(2000,2005]",ABW,0.030886287,4.256758488,,1.30203884,,0.020469646,0.691474175,0.003596136,0,0,,,
2006,4.08e-05,100832,36960,,"(2005,2010]",ABW,-0.092206486,4.477887251,,0.797562763,,0.015147559,0.716012596,0.003276266,0,0,,,
2007,4.15e-05,101220,36960,,"(2005,2010]",ABW,-0.356717914,1.499999797,,0.384060021,,0.025247365,0.693517177,0.001607628,0,0,,,
2008,4.37e-05,101353,36960,,"(2005,2010]",ABW,-0.513565302,5.367409287,,0.131310707,,0.01053712,0.722996419,0.00147237,0,0,,,
2009,4.12e-05,101453,36960,,"(2005,2010]",ABW,0.726589441,-5.91760505,,0.09861642,,0.015845897,0.512319034,0.008195392,0,0,,,
2010,3.72e-05,101669,36960,,"(2005,2010]",ABW,1.068507195,-10.35781246,,0.212680144,,0.03374064,0.093419424,0.002331205,0,0,,,
2011,3.51e-05,102053,36960,,"(2010,2015]",ABW,-0.064350441,-5.817418539,,0.376984768,,0.071066803,0.448227235,0.002618113,0,0,,,
2012,3.49e-05,102577,36960,,"(2010,2015]",ABW,0.022627506,-0.599885207,,0.512144989,,0.091793385,0.321445719,0.003791353,0,0,,,
2013,4.09e-05,103187,36960,,"(2010,2015]",ABW,0.153426543,15.86215375,,0.592914005,,0.036968404,0.169880383,0.0063944,0,0,,,
2014,3.72e-05,103795,36960,,"(2010,2015]",ABW,-0.304291129,-9.453084943,,0.587492389,,0.028232255,0.150797243,0.004933644,0,0,,,
2015,,104341,36960,,"(2010,2015]",ABW,0.688298762,,,0.524658159,,0.024493319,0.087773792,0.003747863,0,0,,,
2016,,104822,36960,,"(2015,2020]",ABW,0.428634465,,,0.459929192,,0.033459274,0.041969501,0.010218116,0,0,,,
1970,,,,,"(1965,1970]",ADO,,,,,,,,,0,0,,,
