xvals,yvals,upper,lower,factor,group,period,first_year,last_year
6,0.678749383309459,1.40216235099525,-0.044663584376333,eci,No OPEC,1962 - 2016,1962,2016
6.1,0.645837575836824,1.34870971094233,-0.0570345592686826,eci,No OPEC,1962 - 2016,1962,2016
6.2,0.612925768364222,1.29542530670237,-0.0695737699739231,eci,No OPEC,1962 - 2016,1962,2016
6.3,0.580013960891622,1.24232763318198,-0.0822997113987372,eci,No OPEC,1962 - 2016,1962,2016
6.4,0.547102153418975,1.18943766893333,-0.0952333620953758,eci,No OPEC,1962 - 2016,1962,2016
6.5,0.514190345946361,1.1367665711309,-0.108385879238174,eci,No OPEC,1962 - 2016,1962,2016
6.6,0.481278538473741,1.08434417752519,-0.121787100577707,eci,No OPEC,1962 - 2016,1962,2016
6.7,0.448366731001073,1.03219165835936,-0.135458196357218,eci,No OPEC,1962 - 2016,1962,2016
6.8,0.415454923528427,0.980338043328057,-0.149428196271203,eci,No OPEC,1962 - 2016,1962,2016
6.9,0.382543116055813,0.928814734520264,-0.163728502408638,eci,No OPEC,1962 - 2016,1962,2016
7,0.349631308583173,0.877652552851788,-0.178389935685441,eci,No OPEC,1962 - 2016,1962,2016
7.1,0.316719501110547,0.826894460359481,-0.193455458138388,eci,No OPEC,1962 - 2016,1962,2016
7.2,0.283807693637939,0.776583469157405,-0.208968081881527,eci,No OPEC,1962 - 2016,1962,2016
7.3,0.250895886165364,0.726768240444746,-0.224976468114017,eci,No OPEC,1962 - 2016,1962,2016
7.4,0.217984078692749,0.677502010115527,-0.241533852730029,eci,No OPEC,1962 - 2016,1962,2016
7.5,0.185072271220176,0.628848710587665,-0.258704168147314,eci,No OPEC,1962 - 2016,1962,2016
7.6,0.1521604637475,0.580875735618673,-0.276554808123674,eci,No OPEC,1962 - 2016,1962,2016
7.7,0.119248656274884,0.533653418247849,-0.295156105698081,eci,No OPEC,1962 - 2016,1962,2016
7.8,0.0863368488022539,0.487265334535829,-0.314591636931321,eci,No OPEC,1962 - 2016,1962,2016
7.9,0.0534250413297054,0.441798013840621,-0.33494793118121,eci,No OPEC,1962 - 2016,1962,2016
8,0.0205132338570241,0.397342834888007,-0.356316367173959,eci,No OPEC,1962 - 2016,1962,2016
8.1,-0.0123985736155763,0.353995277166287,-0.37879242439744,eci,No OPEC,1962 - 2016,1962,2016
8.2,-0.0453103810881802,0.311852958408594,-0.402473720584955,eci,No OPEC,1962 - 2016,1962,2016
8.3,-0.0782221885608466,0.271012168792575,-0.427456545914268,eci,No OPEC,1962 - 2016,1962,2016
8.4,-0.111133996033467,0.231561828910732,-0.453829820977665,eci,No OPEC,1962 - 2016,1962,2016
8.5,-0.144045803506042,0.193581969828788,-0.481673576840872,eci,No OPEC,1962 - 2016,1962,2016
8.6,-0.176957610978701,0.157142193162892,-0.511057415120293,eci,No OPEC,1962 - 2016,1962,2016
8.7,-0.209869418451271,0.122289955584808,-0.54202879248735,eci,No OPEC,1962 - 2016,1962,2016
8.8,-0.242781225923909,0.089053360015663,-0.57461581186348,eci,No OPEC,1962 - 2016,1962,2016
8.9,-0.275693033396513,0.0574372574426379,-0.608823324235664,eci,No OPEC,1962 - 2016,1962,2016
9,-0.30860484086912,0.0274226857673969,-0.644632367505638,eci,No OPEC,1962 - 2016,1962,2016
9.1,-0.341516648341791,-0.00103107129858976,-0.682002225384992,eci,No OPEC,1962 - 2016,1962,2016
9.2,-0.374428455814336,-0.0279843705040276,-0.720872541124644,eci,No OPEC,1962 - 2016,1962,2016
9.3,-0.407340263286957,-0.0535128641632339,-0.76116766241068,eci,No OPEC,1962 - 2016,1962,2016
9.4,-0.440252070759602,-0.0777037770098188,-0.802800364509385,eci,No OPEC,1962 - 2016,1962,2016
9.5,-0.473163878232182,-0.100650950832782,-0.845676805631582,eci,No OPEC,1962 - 2016,1962,2016
9.6,-0.506075685704844,-0.122451531598517,-0.889699839811171,eci,No OPEC,1962 - 2016,1962,2016
9.7,-0.538987493177512,-0.143201646825025,-0.934773339529999,eci,No OPEC,1962 - 2016,1962,2016
9.8,-0.571899300650037,-0.162994788342978,-0.980803812957097,eci,No OPEC,1962 - 2016,1962,2016
9.9,-0.604811108122695,-0.181921135855036,-1.02770108039035,eci,No OPEC,1962 - 2016,1962,2016
10,-0.637722915595316,-0.200062796697167,-1.07538303449347,eci,No OPEC,1962 - 2016,1962,2016
10.1,-0.670634723067911,-0.217497079535161,-1.12377236660066,eci,No OPEC,1962 - 2016,1962,2016
10.2,-0.703546530540545,-0.234292814425815,-1.17280024665527,eci,No OPEC,1962 - 2016,1962,2016
10.3,-0.736458338013194,-0.250515090940562,-1.22240158508583,eci,No OPEC,1962 - 2016,1962,2016
10.4,-0.769370145485796,-0.266219237916105,-1.27252105305549,eci,No OPEC,1962 - 2016,1962,2016
10.5,-0.802281952958374,-0.281458310571283,-1.32310559534546,eci,No OPEC,1962 - 2016,1962,2016
10.6,-0.835193760431021,-0.296277450912706,-1.37411006994934,eci,No OPEC,1962 - 2016,1962,2016
10.7,-0.868105567903646,-0.310717167731454,-1.42549396807584,eci,No OPEC,1962 - 2016,1962,2016
10.8,-0.901017375376268,-0.324814236253512,-1.47722051449902,eci,No OPEC,1962 - 2016,1962,2016
10.9,-0.933929182848842,-0.338601038173035,-1.52925732752465,eci,No OPEC,1962 - 2016,1962,2016
11,-0.966840990321454,-0.352107354640365,-1.58157462600254,eci,No OPEC,1962 - 2016,1962,2016
11.1,-0.99975279779417,-0.365358053239703,-1.63414754234864,eci,No OPEC,1962 - 2016,1962,2016
11.2,-1.03266460526678,-0.378376489079506,-1.68695272145405,eci,No OPEC,1962 - 2016,1962,2016
11.3,-1.06557641273947,-0.3911826518742,-1.73997017360474,eci,No OPEC,1962 - 2016,1962,2016
11.4,-1.09848822021201,-0.403795674639726,-1.7931807657843,eci,No OPEC,1962 - 2016,1962,2016
11.5,-1.13140002768462,-0.4162317293192,-1.84656832605005,eci,No OPEC,1962 - 2016,1962,2016
11.6,-1.16431183515716,-0.428505180610574,-1.90011848970375,eci,No OPEC,1962 - 2016,1962,2016
11.7,-1.19722364262985,-0.440630152141923,-1.95381713311778,eci,No OPEC,1962 - 2016,1962,2016
11.8,-1.2301354501025,-0.452617530795099,-2.00765336940991,eci,No OPEC,1962 - 2016,1962,2016
11.9,-1.26304725757509,-0.464478923353104,-2.06161559179708,eci,No OPEC,1962 - 2016,1962,2016
12,-1.29595906504771,-0.47622351882125,-2.11569461127416,eci,No OPEC,1962 - 2016,1962,2016
