xvals,yvals,upper,lower,factor,dx_variable,period,first_year,last_year
6,0.70593849752061,1.43799066656852,-0.0261136715272957,eci,eci,1962 - 2016,1962,2016
6.1,0.673026690047967,1.38465033424586,-0.0385969541499261,eci,eci,1962 - 2016,1962,2016
6.2,0.640114882575358,1.33148287948449,-0.0512531143337722,eci,eci,1962 - 2016,1962,2016
6.3,0.607203075102754,1.27850668490355,-0.0641005346980391,eci,eci,1962 - 2016,1962,2016
6.4,0.574291267630121,1.22574247708392,-0.0771599418236778,eci,eci,1962 - 2016,1962,2016
6.5,0.541379460157507,1.17320223109488,-0.0904433107798708,eci,eci,1962 - 2016,1962,2016
6.6,0.508467652684887,1.12091519685888,-0.103979891489105,eci,eci,1962 - 2016,1962,2016
6.7,0.475555845212229,1.06890242508512,-0.117790734660666,eci,eci,1962 - 2016,1962,2016
6.8,0.442644037739583,1.01719324642345,-0.131905170944281,eci,eci,1962 - 2016,1962,2016
6.9,0.40973223026696,0.965818162943228,-0.146353702409309,eci,eci,1962 - 2016,1962,2016
7,0.376820422794316,0.914807763662847,-0.161166918074215,eci,eci,1962 - 2016,1962,2016
7.1,0.343908615321695,0.864204263424945,-0.176387032781556,eci,eci,1962 - 2016,1962,2016
7.2,0.310996807849086,0.814049524026423,-0.192055908328251,eci,eci,1962 - 2016,1962,2016
7.3,0.278085000376502,0.764390984618023,-0.208220983865018,eci,eci,1962 - 2016,1962,2016
7.4,0.24517319290389,0.715280497243682,-0.224934111435903,eci,eci,1962 - 2016,1962,2016
7.5,0.212261385431302,0.666779416357025,-0.242256645494421,eci,eci,1962 - 2016,1962,2016
7.6,0.179349577958633,0.618952714542482,-0.260253558625215,eci,eci,1962 - 2016,1962,2016
7.7,0.146437770486016,0.571867526310879,-0.278991985338846,eci,eci,1962 - 2016,1962,2016
7.8,0.113525963013393,0.525603444923326,-0.29855151889654,eci,eci,1962 - 2016,1962,2016
7.9,0.0806141555408431,0.480242497362535,-0.319014186280848,eci,eci,1962 - 2016,1962,2016
8,0.0477023480681627,0.435870863543781,-0.340466167407456,eci,eci,1962 - 2016,1962,2016
8.1,0.0147905405955568,0.392578446924149,-0.362997365733035,eci,eci,1962 - 2016,1962,2016
8.2,-0.0181212668770396,0.350456936261747,-0.386699470015826,eci,eci,1962 - 2016,1962,2016
