y,x,col_val,col_var,period,first_year,last_year
3.43780849287372,-2,7,GDP,1962 - 2014,1962,2014
3.61405309490239,-1.5,7,GDP,1962 - 2014,1962,2014
3.79029769693105,-1,7,GDP,1962 - 2014,1962,2014
3.96654229895971,-0.5,7,GDP,1962 - 2014,1962,2014
4.14278690098837,0,7,GDP,1962 - 2014,1962,2014
4.31903150301704,0.5,7,GDP,1962 - 2014,1962,2014
4.4952761050457,1,7,GDP,1962 - 2014,1962,2014
4.67152070707436,1.5,7,GDP,1962 - 2014,1962,2014
4.84776530910302,2,7,GDP,1962 - 2014,1962,2014
5.02400991113168,2.5,7,GDP,1962 - 2014,1962,2014
2.11247407753585,-2,8.5,GDP,1962 - 2014,1962,2014
2.03984344662489,-1.5,8.5,GDP,1962 - 2014,1962,2014
1.96721281571393,-1,8.5,GDP,1962 - 2014,1962,2014
1.89458218480296,-0.5,8.5,GDP,1962 - 2014,1962,2014
1.821951553892,0,8.5,GDP,1962 - 2014,1962,2014
1.74932092298104,0.5,8.5,GDP,1962 - 2014,1962,2014
1.67669029207008,1,8.5,GDP,1962 - 2014,1962,2014
1.60405966115912,1.5,8.5,GDP,1962 - 2014,1962,2014
1.53142903024816,2,8.5,GDP,1962 - 2014,1962,2014
1.45879839933719,2.5,8.5,GDP,1962 - 2014,1962,2014
0.787139662197976,-2,10,GDP,1962 - 2014,1962,2014
0.465633798347389,-1.5,10,GDP,1962 - 2014,1962,2014
0.144127934496803,-1,10,GDP,1962 - 2014,1962,2014
-0.177377929353783,-0.5,10,GDP,1962 - 2014,1962,2014
-0.498883793204368,0,10,GDP,1962 - 2014,1962,2014
-0.820389657054953,0.5,10,GDP,1962 - 2014,1962,2014
-1.14189552090554,1,10,GDP,1962 - 2014,1962,2014
-1.46340138475612,1.5,10,GDP,1962 - 2014,1962,2014
-1.78490724860671,2,10,GDP,1962 - 2014,1962,2014
-2.1064131124573,2.5,10,GDP,1962 - 2014,1962,2014
4.7631429082116,5.5,-2,ECI,1962 - 2014,1962,2014
4.32136476976564,6,-2,ECI,1962 - 2014,1962,2014
3.87958663131968,6.5,-2,ECI,1962 - 2014,1962,2014
3.43780849287372,7,-2,ECI,1962 - 2014,1962,2014
2.99603035442776,7.5,-2,ECI,1962 - 2014,1962,2014
2.55425221598181,8,-2,ECI,1962 - 2014,1962,2014
2.11247407753585,8.5,-2,ECI,1962 - 2014,1962,2014
1.67069593908989,9,-2,ECI,1962 - 2014,1962,2014
1.22891780064393,9.5,-2,ECI,1962 - 2014,1962,2014
0.787139662197976,10,-2,ECI,1962 - 2014,1962,2014
6.46362224808474,5.5,0,ECI,1962 - 2014,1962,2014
5.69001046571929,6,0,ECI,1962 - 2014,1962,2014
4.91639868335383,6.5,0,ECI,1962 - 2014,1962,2014
4.14278690098837,7,0,ECI,1962 - 2014,1962,2014
3.36917511862292,7.5,0,ECI,1962 - 2014,1962,2014
2.59556333625746,8,0,ECI,1962 - 2014,1962,2014
1.821951553892,8.5,0,ECI,1962 - 2014,1962,2014
1.04833977152655,9,0,ECI,1962 - 2014,1962,2014
0.274727989161089,9.5,0,ECI,1962 - 2014,1962,2014
-0.498883793204368,10,0,ECI,1962 - 2014,1962,2014
8.16410158795788,5.5,2,ECI,1962 - 2014,1962,2014
7.05865616167293,6,2,ECI,1962 - 2014,1962,2014
5.95321073538798,6.5,2,ECI,1962 - 2014,1962,2014
